annee_scolaire;Ordre_CRE;Nom_CRE;Niveau_scolaire;Sexe;Effectif_eleves
2021/2022;12;Kasserine;6ème année primaire;Masculin;4024
2021/2022;13;Sidi Bouzid;1ère année primaire;Masculin;5111
2021/2022;13;Sidi Bouzid;2ème année primaire;Masculin;5062
2021/2022;13;Sidi Bouzid;3ème année primaire;Masculin;5194
2021/2022;13;Sidi Bouzid;4ème année primaire;Masculin;4575
2021/2022;13;Sidi Bouzid;5ème année primaire;Masculin;4442
2021/2022;13;Sidi Bouzid;6ème année primaire;Masculin;3885
2021/2022;14;Gafsa;1ère année primaire;Masculin;3662
2021/2022;14;Gafsa;2ème année primaire;Masculin;3753
2021/2022;14;Gafsa;3ème année primaire;Masculin;3806
2021/2022;14;Gafsa;4ème année primaire;Masculin;3506
2021/2022;14;Gafsa;5ème année primaire;Masculin;3161
2021/2022;14;Gafsa;6ème année primaire;Masculin;3019
2021/2022;15;Tozeur;1ère année primaire;Masculin;1145
2021/2022;15;Tozeur;2ème année primaire;Masculin;1098
2021/2022;15;Tozeur;3ème année primaire;Masculin;1159
2021/2022;15;Tozeur;4ème année primaire;Masculin;1060
2021/2022;15;Tozeur;5ème année primaire;Masculin;1112
2021/2022;15;Tozeur;6ème année primaire;Masculin;972
2021/2022;16;Kébili;1ère année primaire;Masculin;1806
2021/2022;16;Kébili;2ème année primaire;Masculin;1760
2021/2022;16;Kébili;3ème année primaire;Masculin;1814
2021/2022;16;Kébili;4ème année primaire;Masculin;1651
2021/2022;16;Kébili;5ème année primaire;Masculin;1798
2021/2022;16;Kébili;6ème année primaire;Masculin;1492
2021/2022;17;Tataouine;1ère année primaire;Masculin;1684
2021/2022;17;Tataouine;2ème année primaire;Masculin;1590
2021/2022;17;Tataouine;3ème année primaire;Masculin;1697
2021/2022;17;Tataouine;4ème année primaire;Masculin;1576
2021/2022;17;Tataouine;5ème année primaire;Masculin;1581
2021/2022;17;Tataouine;6ème année primaire;Masculin;1333
2021/2022;18;Médenine;1ère année primaire;Masculin;5256
2021/2022;18;Médenine;2ème année primaire;Masculin;5370
2021/2022;18;Médenine;3ème année primaire;Masculin;5549
2021/2022;18;Médenine;4ème année primaire;Masculin;5161
2021/2022;18;Médenine;5ème année primaire;Masculin;5133
2021/2022;18;Médenine;6ème année primaire;Masculin;4560
2021/2022;19;Gabès;1ère année primaire;Masculin;4165
2021/2022;19;Gabès;2ème année primaire;Masculin;4168
2021/2022;19;Gabès;3ème année primaire;Masculin;4201
2021/2022;19;Gabès;4ème année primaire;Masculin;3788
2021/2022;19;Gabès;5ème année primaire;Masculin;3781
2021/2022;19;Gabès;6ème année primaire;Masculin;3437
2021/2022;20;Sfax 1;1ère année primaire;Masculin;4794
2021/2022;20;Sfax 1;2ème année primaire;Masculin;4990
2021/2022;20;Sfax 1;3ème année primaire;Masculin;5000
2021/2022;20;Sfax 1;4ème année primaire;Masculin;4699
2021/2022;20;Sfax 1;5ème année primaire;Masculin;4588
2021/2022;20;Sfax 1;6ème année primaire;Masculin;4170
2021/2022;21;Sfax 2;1ère année primaire;Masculin;5319
2021/2022;21;Sfax 2;2ème année primaire;Masculin;5672
2021/2022;21;Sfax 2;3ème année primaire;Masculin;5663
2021/2022;21;Sfax 2;4ème année primaire;Masculin;5115
2021/2022;21;Sfax 2;5ème année primaire;Masculin;5117
2021/2022;21;Sfax 2;6ème année primaire;Masculin;4518
2021/2022;22;Mahdia;1ère année primaire;Masculin;5008
2021/2022;22;Mahdia;2ème année primaire;Masculin;5027
2021/2022;22;Mahdia;3ème année primaire;Masculin;5336
2021/2022;22;Mahdia;4ème année primaire;Masculin;4818
2021/2022;22;Mahdia;5ème année primaire;Masculin;4525
2021/2022;22;Mahdia;6ème année primaire;Masculin;3891
2021/2022;23;Kairouan;1ère année primaire;Masculin;6883
2021/2022;23;Kairouan;2ème année primaire;Masculin;6859
2021/2022;23;Kairouan;3ème année primaire;Masculin;7095
2021/2022;23;Kairouan;4ème année primaire;Masculin;6363
2021/2022;23;Kairouan;5ème année primaire;Masculin;5814
2021/2022;23;Kairouan;6ème année primaire;Masculin;5137
2021/2022;24;Monastir;1ère année primaire;Masculin;5469
2021/2022;24;Monastir;2ème année primaire;Masculin;5648
2021/2022;24;Monastir;3ème année primaire;Masculin;5962
2021/2022;24;Monastir;4ème année primaire;Masculin;5634
2021/2022;24;Monastir;5ème année primaire;Masculin;5596
2021/2022;24;Monastir;6ème année primaire;Masculin;4948
2021/2022;25;Sousse;1ère année primaire;Masculin;6412
2021/2022;25;Sousse;2ème année primaire;Masculin;6645
2021/2022;25;Sousse;3ème année primaire;Masculin;7104
2021/2022;25;Sousse;4ème année primaire;Masculin;6521
2021/2022;25;Sousse;5ème année primaire;Masculin;6561
2021/2022;25;Sousse;6ème année primaire;Masculin;5730
2021/2022;26;Nabeul;1ère année primaire;Masculin;7731
2021/2022;26;Nabeul;2ème année primaire;Masculin;7880
2021/2022;26;Nabeul;3ème année primaire;Masculin;8208
2021/2022;26;Nabeul;4ème année primaire;Masculin;7964
2021/2022;26;Nabeul;5ème année primaire;Masculin;7759
2021/2022;26;Nabeul;6ème année primaire;Masculin;7045
2021/2022;1;Tunis 1;1ère année primaire;Feminin;3063
2021/2022;1;Tunis 1;2ème année primaire;Feminin;3049
2021/2022;1;Tunis 1;3ème année primaire;Feminin;3325
2021/2022;1;Tunis 1;4ème année primaire;Feminin;3278
2021/2022;1;Tunis 1;5ème année primaire;Feminin;3219
2021/2022;1;Tunis 1;6ème année primaire;Feminin;3112
2021/2022;2;Tunis 2;1ère année primaire;Feminin;3313
2021/2022;2;Tunis 2;2ème année primaire;Feminin;3305
2021/2022;2;Tunis 2;3ème année primaire;Feminin;3536
2021/2022;2;Tunis 2;4ème année primaire;Feminin;3433
2021/2022;2;Tunis 2;5ème année primaire;Feminin;3299
2021/2022;2;Tunis 2;6ème année primaire;Feminin;3341
2021/2022;3;Ariana;1ère année primaire;Feminin;4033
2021/2022;3;Ariana;2ème année primaire;Feminin;3984
2021/2022;3;Ariana;3ème année primaire;Feminin;4222
2021/2022;3;Ariana;4ème année primaire;Feminin;4156
2021/2022;3;Ariana;5ème année primaire;Feminin;4060
2021/2022;3;Ariana;6ème année primaire;Feminin;3967
2021/2022;4;Mannouba;1ère année primaire;Feminin;2850
2021/2022;4;Mannouba;2ème année primaire;Feminin;2956
2021/2022;4;Mannouba;3ème année primaire;Feminin;3097
2021/2022;4;Mannouba;4ème année primaire;Feminin;3015
2021/2022;4;Mannouba;5ème année primaire;Feminin;2903
2021/2022;4;Mannouba;6ème année primaire;Feminin;2958
2021/2022;5;Ben Arous;1ère année primaire;Feminin;4923
2021/2022;5;Ben Arous;2ème année primaire;Feminin;5034
2021/2022;5;Ben Arous;3ème année primaire;Feminin;5262
2021/2022;5;Ben Arous;4ème année primaire;Feminin;5139
2021/2022;5;Ben Arous;5ème année primaire;Feminin;4893
2021/2022;5;Ben Arous;6ème année primaire;Feminin;4778
2021/2022;6;Zaghouan;1ère année primaire;Feminin;1939
2021/2022;6;Zaghouan;2ème année primaire;Feminin;1884
2021/2022;6;Zaghouan;3ème année primaire;Feminin;1985
2021/2022;6;Zaghouan;4ème année primaire;Feminin;1856
2021/2022;6;Zaghouan;5ème année primaire;Feminin;1741
2021/2022;6;Zaghouan;6ème année primaire;Feminin;1581
2021/2022;7;Bizerte;1ère année primaire;Feminin;4606
2021/2022;7;Bizerte;2ème année primaire;Feminin;4798
2021/2022;7;Bizerte;3ème année primaire;Feminin;4969
2021/2022;7;Bizerte;4ème année primaire;Feminin;4767
2021/2022;7;Bizerte;5ème année primaire;Feminin;4546
2021/2022;7;Bizerte;6ème année primaire;Feminin;4421
2021/2022;8;Béja;1ère année primaire;Feminin;2517
2021/2022;8;Béja;2ème année primaire;Feminin;2585
2021/2022;8;Béja;3ème année primaire;Feminin;2655
2021/2022;8;Béja;4ème année primaire;Feminin;2513
2021/2022;8;Béja;5ème année primaire;Feminin;2379
2021/2022;8;Béja;6ème année primaire;Feminin;2331
2021/2022;9;Jendouba;1ère année primaire;Feminin;3158
2021/2022;9;Jendouba;2ème année primaire;Feminin;3164
2021/2022;9;Jendouba;3ème année primaire;Feminin;3242
2021/2022;9;Jendouba;4ème année primaire;Feminin;3027
2021/2022;9;Jendouba;5ème année primaire;Feminin;3011
2021/2022;9;Jendouba;6ème année primaire;Feminin;2924
2021/2022;10;Siliana;1ère année primaire;Feminin;1988
2021/2022;10;Siliana;2ème année primaire;Feminin;2044
2021/2022;10;Siliana;3ème année primaire;Feminin;2036
2021/2022;10;Siliana;4ème année primaire;Feminin;1959
2021/2022;10;Siliana;5ème année primaire;Feminin;1837
2021/2022;10;Siliana;6ème année primaire;Feminin;1902
2021/2022;11;Le Kef;1ère année primaire;Feminin;1953
2021/2022;11;Le Kef;2ème année primaire;Feminin;1881
2021/2022;11;Le Kef;3ème année primaire;Feminin;1947
2021/2022;11;Le Kef;4ème année primaire;Feminin;1834
2021/2022;11;Le Kef;5ème année primaire;Feminin;1759
2021/2022;11;Le Kef;6ème année primaire;Feminin;1680
2021/2022;12;Kasserine;1ère année primaire;Feminin;5300
2021/2022;12;Kasserine;2ème année primaire;Feminin;5183
2021/2022;12;Kasserine;3ème année primaire;Feminin;5175
2021/2022;12;Kasserine;4ème année primaire;Feminin;4584
2021/2022;12;Kasserine;5ème année primaire;Feminin;4419
2021/2022;12;Kasserine;6ème année primaire;Feminin;4044
2021/2022;13;Sidi Bouzid;1ère année primaire;Feminin;4732
2021/2022;13;Sidi Bouzid;2ème année primaire;Feminin;4658
2021/2022;13;Sidi Bouzid;3ème année primaire;Feminin;4681
2021/2022;13;Sidi Bouzid;4ème année primaire;Feminin;4324
2021/2022;13;Sidi Bouzid;5ème année primaire;Feminin;4131
2021/2022;13;Sidi Bouzid;6ème année primaire;Feminin;3719
2021/2022;14;Gafsa;1ère année primaire;Feminin;3380
2021/2022;14;Gafsa;2ème année primaire;Feminin;3500
2021/2022;14;Gafsa;3ème année primaire;Feminin;3283
2021/2022;14;Gafsa;4ème année primaire;Feminin;3085
2021/2022;14;Gafsa;5ème année primaire;Feminin;3017
2021/2022;14;Gafsa;6ème année primaire;Feminin;2875
2021/2022;15;Tozeur;1ère année primaire;Feminin;1016
2021/2022;15;Tozeur;2ème année primaire;Feminin;1103
2021/2022;15;Tozeur;3ème année primaire;Feminin;1004
2021/2022;15;Tozeur;4ème année primaire;Feminin;1002
2021/2022;15;Tozeur;5ème année primaire;Feminin;989
2021/2022;15;Tozeur;6ème année primaire;Feminin;907
2021/2022;16;Kébili;1ère année primaire;Feminin;1732
2021/2022;16;Kébili;2ème année primaire;Feminin;1729
2021/2022;16;Kébili;3ème année primaire;Feminin;1704
2021/2022;16;Kébili;4ème année primaire;Feminin;1661
2021/2022;16;Kébili;5ème année primaire;Feminin;1519
2021/2022;16;Kébili;6ème année primaire;Feminin;1410
2021/2022;17;Tataouine;1ère année primaire;Feminin;1553
2021/2022;17;Tataouine;2ème année primaire;Feminin;1529
2021/2022;17;Tataouine;3ème année primaire;Feminin;1423
2021/2022;17;Tataouine;4ème année primaire;Feminin;1475
2021/2022;17;Tataouine;5ème année primaire;Feminin;1383
2021/2022;17;Tataouine;6ème année primaire;Feminin;1338
2021/2022;18;Médenine;1ère année primaire;Feminin;4976
2021/2022;18;Médenine;2ème année primaire;Feminin;5090
2021/2022;18;Médenine;3ème année primaire;Feminin;4918
2021/2022;18;Médenine;4ème année primaire;Feminin;4718
2021/2022;18;Médenine;5ème année primaire;Feminin;4664
2021/2022;18;Médenine;6ème année primaire;Feminin;4498
2021/2022;19;Gabès;1ère année primaire;Feminin;3867
2021/2022;19;Gabès;2ème année primaire;Feminin;3837
2021/2022;19;Gabès;3ème année primaire;Feminin;3758
2021/2022;19;Gabès;4ème année primaire;Feminin;3498
2021/2022;19;Gabès;5ème année primaire;Feminin;3445
2021/2022;19;Gabès;6ème année primaire;Feminin;3267
2021/2022;20;Sfax 1;1ère année primaire;Feminin;4424
2021/2022;20;Sfax 1;2ème année primaire;Feminin;4639
2021/2022;20;Sfax 1;3ème année primaire;Feminin;4513
2021/2022;20;Sfax 1;4ème année primaire;Feminin;4344
2021/2022;20;Sfax 1;5ème année primaire;Feminin;4290
2021/2022;20;Sfax 1;6ème année primaire;Feminin;3882
2021/2022;21;Sfax 2;1ère année primaire;Feminin;4882
2021/2022;21;Sfax 2;2ème année primaire;Feminin;5039
2021/2022;21;Sfax 2;3ème année primaire;Feminin;4978
2021/2022;21;Sfax 2;4ème année primaire;Feminin;4751
2021/2022;21;Sfax 2;5ème année primaire;Feminin;4814
2021/2022;21;Sfax 2;6ème année primaire;Feminin;4341
2021/2022;22;Mahdia;1ère année primaire;Feminin;4457
2021/2022;22;Mahdia;2ème année primaire;Feminin;4549
2021/2022;22;Mahdia;3ème année primaire;Feminin;4677
2021/2022;22;Mahdia;4ème année primaire;Feminin;4319
2021/2022;22;Mahdia;5ème année primaire;Feminin;4170
2021/2022;22;Mahdia;6ème année primaire;Feminin;3901
2021/2022;23;Kairouan;1ère année primaire;Feminin;6155
2021/2022;23;Kairouan;2ème année primaire;Feminin;6199
2021/2022;23;Kairouan;3ème année primaire;Feminin;6297
2021/2022;23;Kairouan;4ème année primaire;Feminin;5735
2021/2022;23;Kairouan;5ème année primaire;Feminin;5316
2021/2022;23;Kairouan;6ème année primaire;Feminin;4872
2021/2022;24;Monastir;1ère année primaire;Feminin;5016
2021/2022;24;Monastir;2ème année primaire;Feminin;5207
2021/2022;24;Monastir;3ème année primaire;Feminin;5281
2021/2022;24;Monastir;4ème année primaire;Feminin;5077
2021/2022;24;Monastir;5ème année primaire;Feminin;5019
2021/2022;24;Monastir;6ème année primaire;Feminin;4626
2021/2022;25;Sousse;1ère année primaire;Feminin;6011
2021/2022;25;Sousse;2ème année primaire;Feminin;6185
2021/2022;25;Sousse;3ème année primaire;Feminin;6280
2021/2022;25;Sousse;4ème année primaire;Feminin;6115
2021/2022;25;Sousse;5ème année primaire;Feminin;6013
2021/2022;25;Sousse;6ème année primaire;Feminin;5472
2021/2022;26;Nabeul;1ère année primaire;Feminin;6918
2021/2022;26;Nabeul;2ème année primaire;Feminin;7265
2021/2022;26;Nabeul;3ème année primaire;Feminin;7517
2021/2022;26;Nabeul;4ème année primaire;Feminin;7384
2021/2022;26;Nabeul;5ème année primaire;Feminin;7095
2021/2022;26;Nabeul;6ème année primaire;Feminin;6691
2021/2022;1;Tunis 1;7ème année de base;Masculin;4569
2021/2022;1;Tunis 1;8ème année de base;Masculin;3401
2021/2022;1;Tunis 1;9ème année de base;Masculin;3083
2021/2022;1;Tunis 1;1ère année secondaire Tronc commun;Masculin;3080
2021/2022;1;Tunis 1;1ère année secondaire Sport;Masculin;61
2021/2022;1;Tunis 1;2ème année secondaire Lettres;Masculin;109
2021/2022;1;Tunis 1;2ème année secondaire Sciences;Masculin;878
2021/2022;1;Tunis 1;2ème année secondaire Technologie informatique;Masculin;581
2021/2022;1;Tunis 1;2ème année secondaire Economie et services;Masculin;742
2021/2022;1;Tunis 1;2ème année secondaire Sport;Masculin;56
2021/2022;1;Tunis 1;3ème année secondaire Lettres;Masculin;108
2021/2022;1;Tunis 1;3ème année secondaire Mathématiques;Masculin;352
2021/2022;1;Tunis 1;3ème année secondaire Sc. Expérimentales;Masculin;291
2021/2022;1;Tunis 1;3ème année secondaire Sc.Techniques;Masculin;214
2021/2022;1;Tunis 1;3ème année secondaire Sc.Informatique;Masculin;353
2021/2022;1;Tunis 1;3ème année secondaire Economie et Gestion;Masculin;769
2021/2022;1;Tunis 1;3ème année secondaire Sport ;Masculin;95
2021/2022;1;Tunis 1;4ème année secondaire Lettres;Masculin;120
2021/2022;1;Tunis 1;4ème année secondaire Mathématiques;Masculin;324
2021/2022;1;Tunis 1;4ème année secondaire Sc. Expérimentales;Masculin;342
2021/2022;1;Tunis 1;4ème année secondaire Sc.Techniques;Masculin;211
2021/2022;1;Tunis 1;4ème année secondaire Sc.Informatique;Masculin;308
2021/2022;1;Tunis 1;4ème année secondaire Economie et Gestion;Masculin;832
2021/2022;1;Tunis 1;4ème année secondaire Sport ;Masculin;132
2021/2022;2;Tunis 2;7ème année de base;Masculin;4603
2021/2022;2;Tunis 2;8ème année de base;Masculin;3119
2021/2022;2;Tunis 2;9ème année de base;Masculin;2881
2021/2022;2;Tunis 2;1ère année secondaire Tronc commun;Masculin;2837
2021/2022;2;Tunis 2;1ère année secondaire Sport;Masculin;24
2021/2022;2;Tunis 2;2ème année secondaire Lettres;Masculin;75
2021/2022;2;Tunis 2;2ème année secondaire Sciences;Masculin;753
2021/2022;2;Tunis 2;2ème année secondaire Technologie informatique;Masculin;596
2021/2022;2;Tunis 2;2ème année secondaire Economie et services;Masculin;604
2021/2022;2;Tunis 2;2ème année secondaire Sport;Masculin;18
2021/2022;2;Tunis 2;3ème année secondaire Lettres;Masculin;97
2021/2022;2;Tunis 2;3ème année secondaire Mathématiques;Masculin;174
2021/2022;2;Tunis 2;3ème année secondaire Sc. Expérimentales;Masculin;181
2021/2022;2;Tunis 2;3ème année secondaire Sc.Techniques;Masculin;285
2021/2022;2;Tunis 2;3ème année secondaire Sc.Informatique;Masculin;374
2021/2022;2;Tunis 2;3ème année secondaire Economie et Gestion;Masculin;658
2021/2022;2;Tunis 2;3ème année secondaire Sport ;Masculin;18
2021/2022;2;Tunis 2;4ème année secondaire Lettres;Masculin;90
2021/2022;2;Tunis 2;4ème année secondaire Mathématiques;Masculin;234
2021/2022;2;Tunis 2;4ème année secondaire Sc. Expérimentales;Masculin;250
2021/2022;2;Tunis 2;4ème année secondaire Sc.Techniques;Masculin;352
2021/2022;2;Tunis 2;4ème année secondaire Sc.Informatique;Masculin;353
2021/2022;2;Tunis 2;4ème année secondaire Economie et Gestion;Masculin;651
2021/2022;2;Tunis 2;4ème année secondaire Sport ;Masculin;28
2021/2022;3;Ariana;7ème année de base;Masculin;5187
2021/2022;3;Ariana;8ème année de base;Masculin;3882
2021/2022;3;Ariana;9ème année de base;Masculin;3132
2021/2022;3;Ariana;1ère année secondaire Tronc commun;Masculin;2988
2021/2022;3;Ariana;1ère année secondaire Sport;Masculin;18
2021/2022;3;Ariana;2ème année secondaire Lettres;Masculin;137
2021/2022;3;Ariana;2ème année secondaire Sciences;Masculin;767
2021/2022;3;Ariana;2ème année secondaire Technologie informatique;Masculin;689
2021/2022;3;Ariana;2ème année secondaire Economie et services;Masculin;670
2021/2022;3;Ariana;2ème année secondaire Sport;Masculin;14
2021/2022;3;Ariana;3ème année secondaire Lettres;Masculin;103
2021/2022;3;Ariana;3ème année secondaire Mathématiques;Masculin;270
2021/2022;3;Ariana;3ème année secondaire Sc. Expérimentales;Masculin;214
2021/2022;3;Ariana;3ème année secondaire Sc.Techniques;Masculin;221
2021/2022;3;Ariana;3ème année secondaire Sc.Informatique;Masculin;439
2021/2022;3;Ariana;3ème année secondaire Economie et Gestion;Masculin;647
2021/2022;3;Ariana;3ème année secondaire Sport ;Masculin;13
2021/2022;3;Ariana;4ème année secondaire Lettres;Masculin;115
2021/2022;3;Ariana;4ème année secondaire Mathématiques;Masculin;247
2021/2022;3;Ariana;4ème année secondaire Sc. Expérimentales;Masculin;248
2021/2022;3;Ariana;4ème année secondaire Sc.Techniques;Masculin;315
2021/2022;3;Ariana;4ème année secondaire Sc.Informatique;Masculin;364
2021/2022;3;Ariana;4ème année secondaire Economie et Gestion;Masculin;668
2021/2022;3;Ariana;4ème année secondaire Sport ;Masculin;20
2021/2022;4;Mannouba;7ème année de base;Masculin;4008
2021/2022;4;Mannouba;8ème année de base;Masculin;3218
2021/2022;4;Mannouba;9ème année de base;Masculin;2577
2021/2022;4;Mannouba;1ère année secondaire Tronc commun;Masculin;2260
2021/2022;4;Mannouba;1ère année secondaire Sport;Masculin;38
2021/2022;4;Mannouba;2ème année secondaire Lettres;Masculin;127
2021/2022;4;Mannouba;2ème année secondaire Sciences;Masculin;488
2021/2022;4;Mannouba;2ème année secondaire Technologie informatique;Masculin;536
2021/2022;4;Mannouba;2ème année secondaire Economie et services;Masculin;538
2021/2022;4;Mannouba;2ème année secondaire Sport;Masculin;31
2021/2022;4;Mannouba;3ème année secondaire Lettres;Masculin;100
2021/2022;4;Mannouba;3ème année secondaire Mathématiques;Masculin;127
2021/2022;4;Mannouba;3ème année secondaire Sc. Expérimentales;Masculin;114
2021/2022;4;Mannouba;3ème année secondaire Sc.Techniques;Masculin;347
2021/2022;4;Mannouba;3ème année secondaire Sc.Informatique;Masculin;223
2021/2022;4;Mannouba;3ème année secondaire Economie et Gestion;Masculin;498
2021/2022;4;Mannouba;3ème année secondaire Sport ;Masculin;19
2021/2022;4;Mannouba;4ème année secondaire Lettres;Masculin;107
2021/2022;4;Mannouba;4ème année secondaire Mathématiques;Masculin;88
2021/2022;4;Mannouba;4ème année secondaire Sc. Expérimentales;Masculin;162
2021/2022;4;Mannouba;4ème année secondaire Sc.Techniques;Masculin;390
2021/2022;4;Mannouba;4ème année secondaire Sc.Informatique;Masculin;255
2021/2022;4;Mannouba;4ème année secondaire Economie et Gestion;Masculin;459
2021/2022;4;Mannouba;4ème année secondaire Sport ;Masculin;17
2021/2022;5;Ben Arous;7ème année de base;Masculin;6414
2021/2022;5;Ben Arous;8ème année de base;Masculin;4801
2021/2022;5;Ben Arous;9ème année de base;Masculin;4104
2021/2022;5;Ben Arous;1ère année secondaire Tronc commun;Masculin;3947
2021/2022;5;Ben Arous;1ère année secondaire Sport;Masculin;22
2021/2022;5;Ben Arous;2ème année secondaire Lettres;Masculin;143
2021/2022;5;Ben Arous;2ème année secondaire Sciences;Masculin;921
2021/2022;5;Ben Arous;2ème année secondaire Technologie informatique;Masculin;1043
2021/2022;5;Ben Arous;2ème année secondaire Economie et services;Masculin;905
2021/2022;5;Ben Arous;2ème année secondaire Sport;Masculin;21
2021/2022;5;Ben Arous;3ème année secondaire Lettres;Masculin;145
2021/2022;5;Ben Arous;3ème année secondaire Mathématiques;Masculin;319
2021/2022;5;Ben Arous;3ème année secondaire Sc. Expérimentales;Masculin;250
2021/2022;5;Ben Arous;3ème année secondaire Sc.Techniques;Masculin;325
2021/2022;5;Ben Arous;3ème année secondaire Sc.Informatique;Masculin;692
2021/2022;5;Ben Arous;3ème année secondaire Economie et Gestion;Masculin;1024
2021/2022;5;Ben Arous;3ème année secondaire Sport ;Masculin;15
2021/2022;5;Ben Arous;4ème année secondaire Lettres;Masculin;177
2021/2022;5;Ben Arous;4ème année secondaire Mathématiques;Masculin;321
2021/2022;5;Ben Arous;4ème année secondaire Sc. Expérimentales;Masculin;365
2021/2022;5;Ben Arous;4ème année secondaire Sc.Techniques;Masculin;555
2021/2022;5;Ben Arous;4ème année secondaire Sc.Informatique;Masculin;629
2021/2022;5;Ben Arous;4ème année secondaire Economie et Gestion;Masculin;925
2021/2022;5;Ben Arous;4ème année secondaire Sport ;Masculin;20
2021/2022;6;Zaghouan;7ème année de base;Masculin;2302
2021/2022;6;Zaghouan;8ème année de base;Masculin;1483
2021/2022;6;Zaghouan;9ème année de base;Masculin;1056
2021/2022;6;Zaghouan;1ère année secondaire Tronc commun;Masculin;1123
2021/2022;6;Zaghouan;1ère année secondaire Sport;Masculin;5
2021/2022;6;Zaghouan;2ème année secondaire Lettres;Masculin;86
2021/2022;6;Zaghouan;2ème année secondaire Sciences;Masculin;248
